kode_gedung,nama_gedung
G0001,Gedung 0001
G0002,Gedung 0002
G0003,Gedung 0003
G0004,Gedung 0004
G0005,Gedung 0005
G0006,Gedung 0006
G0007,Gedung 0007
G0008,Gedung 0008
G0009,Gedung 0009
G0010,Gedung 0010
G0011,Gedung 0011
G0012,Gedung 0012
G0013,Gedung 0013
G0014,Gedung 0014
G0015,Gedung 0015
G0016,Gedung 0016
G0017,Gedung 0017
G0018,Gedung 0018
G0019,Gedung 0019
G0020,Gedung 0020
G0021,Gedung 0021
G0022,Gedung 0022
G0023,Gedung 0023
G0024,Gedung 0024
G0025,Gedung 0025
G0026,Gedung 0026
G0027,Gedung 0027
G0028,Gedung 0028
G0029,Gedung 0029
G0030,Gedung 0030
G0031,Gedung 0031
G0032,Gedung 0032
G0033,Gedung 0033
G0034,Gedung 0034
G0035,Gedung 0035
G0036,Gedung 0036
G0037,Gedung 0037
G0038,Gedung 0038
G0039,Gedung 0039
G0040,Gedung 0040
G0041,Gedung 0041
G0042,Gedung 0042
G0043,Gedung 0043
G0044,Gedung 0044
G0045,Gedung 0045
G0046,Gedung 0046
G0047,Gedung 0047
G0048,Gedung 0048
G0049,Gedung 0049
G0050,Gedung 0050
