gedung_asal,gedung_tujuan
G0001,G0002
G0001,G0003
G0001,G0006
G0001,G0014
G0001,G0015
G0001,G0020
G0001,G0029
G0001,G0033
G0001,G0049
G0001,G0077
G0001,G0093
G0002,G0006
G0002,G0007
G0002,G0008
G0002,G0009
G0002,G0010
G0002,G0011
G0002,G0012
G0002,G0015
G0002,G0016
G0002,G0068
G0002,G0088
G0003,G0004
G0003,G0005
G0003,G0015
G0003,G0044
G0003,G0049
G0004,G0023
G0004,G0085
G0005,G0043
G0005,G0048
G0005,G0049
G0005,G0100
G0006,G0017
G0006,G0042
G0006,G0046
G0006,G0055
G0006,G0067
G0006,G0080
G0007,G0008
G0007,G0013
G0007,G0015
G0007,G0017
G0007,G0022
G0007,G0033
G0007,G0041
G0007,G0044
G0007,G0087
G0008,G0013
G0008,G0018
G0008,G0021
G0008,G0022
G0008,G0027
G0008,G0028
G0008,G0031
G0008,G0053
G0008,G0070
G0008,G0081
G0008,G0098
G0009,G0010
G0009,G0024
G0009,G0029
G0009,G0030
G0009,G0035
G0009,G0045
G0009,G0050
G0009,G0063
G0009,G0066
G0009,G0077
G0010,G0012
G0010,G0032
G0010,G0038
G0010,G0066
G0010,G0069
G0010,G0082
G0010,G0089
G0010,G0091
G0011,G0034
G0011,G0054
G0011,G0066
G0011,G0070
G0011,G0094
G0012,G0082
G0012,G0097
G0013,G0072
G0013,G0073
G0013,G0085
G0014,G0018
G0014,G0026
G0014,G0039
G0014,G0044
G0014,G0046
G0014,G0081
G0014,G0090
G0014,G0096
G0015,G0028
G0015,G0034
G0015,G0044
G0015,G0093
G0016,G0032
G0016,G0052
G0017,G0019
G0017,G0034
G0017,G0048
G0017,G0051
G0017,G0082
G0017,G0085
G0017,G0093
G0017,G0099
G0018,G0021
G0018,G0025
G0018,G0029
G0018,G0032
G0018,G0037
G0018,G0058
G0019,G0029
G0019,G0034
G0019,G0056
G0019,G0057
G0020,G0026
G0020,G0063
G0020,G0070
G0020,G0071
G0020,G0081
G0020,G0096
G0021,G0023
G0021,G0031
G0021,G0034
G0021,G0035
G0021,G0037
G0021,G0059
G0021,G0070
G0021,G0077
G0021,G0088
G0022,G0034
G0022,G0036
G0022,G0040
G0022,G0053
G0022,G0085
G0023,G0024
G0023,G0045
G0023,G0046
G0023,G0053
G0023,G0065
G0024,G0055
G0024,G0063
G0025,G0032
G0025,G0038
G0025,G0043
G0025,G0052
G0025,G0053
G0025,G0054
G0025,G0065
G0025,G0069
G0026,G0031
G0026,G0059
G0026,G0092
G0027,G0078
G0027,G0080
G0027,G0086
G0027,G0088
G0028,G0032
G0028,G0035
G0028,G0052
G0028,G0055
G0028,G0065
G0028,G0070
G0028,G0073
G0028,G0084
G0029,G0030
G0029,G0061
G0029,G0095
G0030,G0051
G0030,G0068
G0030,G0071
G0030,G0076
G0030,G0099
G0031,G0034
G0031,G0036
G0031,G0073
G0031,G0087
G0031,G0097
G0032,G0048
G0032,G0061
G0032,G0073
G0032,G0086
G0032,G0087
G0032,G0095
G0033,G0071
G0034,G0041
G0034,G0050
G0034,G0069
G0034,G0082
G0034,G0093
G0035,G0037
G0035,G0052
G0035,G0081
G0035,G0091
G0035,G0097
G0036,G0055
G0036,G0056
G0036,G0060
G0036,G0074
G0037,G0059
G0037,G0064
G0038,G0056
G0038,G0069
G0039,G0047
G0039,G0059
G0039,G0082
G0039,G0085
G0039,G0091
G0040,G0045
G0040,G0047
G0040,G0052
G0040,G0060
G0041,G0052
G0041,G0059
G0041,G0092
G0041,G0096
G0041,G0097
G0042,G0063
G0042,G0097
G0043,G0095
G0043,G0099
G0044,G0092
G0046,G0056
G0046,G0079
G0047,G0050
G0047,G0052
G0047,G0076
G0048,G0057
G0048,G0078
G0048,G0098
G0049,G0073
G0049,G0077
G0049,G0090
G0051,G0064
G0052,G0094
G0053,G0055
G0053,G0080
G0053,G0086
G0054,G0058
G0055,G0072
G0055,G0075
G0055,G0077
G0055,G0090
G0056,G0062
G0057,G0061
G0057,G0070
G0057,G0071
G0057,G0095
G0058,G0067
G0059,G0075
G0059,G0080
G0059,G0083
G0060,G0068
G0060,G0089
G0060,G0094
G0061,G0071
G0061,G0074
G0062,G0063
G0062,G0075
G0063,G0065
G0063,G0086
G0064,G0066
G0065,G0068
G0065,G0078
G0065,G0098
G0067,G0073
G0068,G0078
G0068,G0100
G0069,G0086
G0069,G0088
G0069,G0098
G0070,G0084
G0070,G0097
G0071,G0075
G0071,G0076
G0071,G0086
G0071,G0091
G0072,G0094
G0072,G0096
G0072,G0100
G0075,G0077
G0075,G0085
G0075,G0095
G0075,G0096
G0078,G0083
G0079,G0084
G0082,G0084
G0082,G0092
G0083,G0084
G0083,G0086
G0083,G0099
G0084,G0086
G0085,G0092
G0088,G0096
G0089,G0093
G0089,G0094
